alpha,subset_ratio,repetition,os_time,os_iter,os_beta_mse,os_sigma_mse,inr_time,inr_iter,inr_beta_mse,inr_sigma_mse
1.0,0.05,127,126.39631628990173,1,9.321039952162311e-05,0.001795161955136415,166.67990827560425,2,9.677455411838416e-05,0.001835140912964892
1.0,0.05,361,130.17154169082642,1,8.799454259052984e-07,0.0012346138815311478,173.37615942955017,2,1.1222121857115094e-06,0.0012394083603916744
1.0,0.05,424,131.00031924247742,1,2.1918900993101358e-05,0.0015565518641108584,174.26672077178955,2,2.0484443290736725e-05,0.0015392625983713765
1.0,0.05,180,132.8294198513031,1,1.1495186486091288e-05,0.0010420735651951176,198.16258239746094,3,1.408000988517283e-05,0.0010788929147853435
1.0,0.05,237,132.31819248199463,1,1.0503456018490026e-05,0.0011340305302334596,173.62194895744324,2,9.667842095084303e-06,0.00112577212719224
1.0,0.05,66,137.54439997673035,1,1.916878169426791e-05,0.0012132712754164242,175.44025659561157,2,1.7299973192887278e-05,0.001193413345539617
1.0,0.05,299,146.37152862548828,1,3.0392422696595597e-05,0.001191477998451055,164.337735414505,2,3.291343640716697e-05,0.001226499700106073
1.0,0.05,128,147.90741539001465,1,7.08474553437786e-05,0.0015700278817526183,142.7740020751953,2,7.407755228608601e-05,0.0016027611999898535
1.0,0.05,488,147.31542658805847,1,3.6292660887052804e-05,0.0012077789893327475,169.33396005630493,3,3.0070740531026336e-05,0.0011375654795018617
1.0,0.05,362,145.01324009895325,1,0.0003288969903523106,0.005380078782481948,125.73852252960205,2,0.0003227758776422038,0.0053039806644864405
1.0,0.05,425,143.0009322166443,1,0.0005292852124364425,0.007445140408020873,124.92555499076843,2,0.0005356159517965308,0.007521252973464899
1.0,0.05,238,134.96846628189087,1,0.0001260191167173827,0.0020409392660184415,121.98640465736389,2,0.00012955768867619445,0.0020786975298613237
1.0,0.05,181,139.68693137168884,1,5.5986821112248496e-05,0.0018799297134446322,143.89654731750488,3,5.0183136121752444e-05,0.0018105177207103423
1.0,0.05,67,129.12051844596863,1,0.00015175043719846876,0.002113372399511801,123.77835297584534,2,0.0001468239779826708,0.0020614071285397504
1.0,0.05,300,100.86798000335693,1,6.4686150001410416e-06,0.0010288154493073018,153.0412619113922,3,2.89561919618665e-06,0.0010179476534270173
1.0,0.05,129,101.41625785827637,1,3.6662536254803187e-06,0.0009031936605011066,137.33098149299622,2,3.7928953814606913e-06,0.0009037561189553318
1.0,0.05,489,102.06158876419067,1,3.4054918483123335e-05,0.0013818093495289723,139.92123651504517,2,3.1092687853622124e-05,0.0013523228219717463
1.0,0.05,363,110.86681628227234,1,4.8450890534678204e-05,0.0014660577657298066,137.6406445503235,2,4.536382824300129e-05,0.001431181249556952
1.0,0.05,426,108.96306586265564,1,2.3561642070121933e-06,0.0007937533876377189,137.09242630004883,2,1.9444797306280704e-06,0.000785643984923391
1.0,0.05,239,110.20401501655579,1,8.091745556389497e-05,0.0018295391379707705,131.90771532058716,2,7.85315960183879e-05,0.0018011490344469567
1.0,0.05,182,109.20147848129272,1,8.128673240482244e-05,0.0015672082157901588,147.97535371780396,3,7.224892242756864e-05,0.0014686894707484888
1.0,0.05,68,110.8898811340332,1,0.00017997941182784253,0.0035381092685255106,148.0294952392578,3,0.0001669575336825779,0.0033666152143404
1.0,0.05,301,105.41020512580872,1,2.1396803553972276e-05,0.0009010660967987177,107.19752240180969,2,2.0068142568512997e-05,0.0008915732426341753
1.0,0.05,490,91.5893166065216,1,3.7786939444353866e-05,0.0014772186140698926,108.50502753257751,2,3.701430035434351e-05,0.0014705800725731632
1.0,0.05,130,91.38828110694885,1,6.450949719040166e-05,0.0021111140225193673,123.93165230751038,3,5.767626890154447e-05,0.002011876743743509
1.0,0.05,427,86.7307596206665,1,1.20345034071756e-05,0.0010342354577420117,107.09412026405334,2,1.3903951087093288e-05,0.0010616797141396186
1.0,0.05,364,87.64975118637085,1,6.213413828686266e-05,0.0019023110299649932,126.13015842437744,3,5.4488490039095454e-05,0.0018092622829366833
1.0,0.05,240,87.8132700920105,1,3.586175187314288e-05,0.0011984259852369525,120.90102815628052,3,4.058466191660829e-05,0.0012374300345836299
1.0,0.05,183,87.72027492523193,1,6.109411874716584e-05,0.001871311267675449,105.16602230072021,2,6.317192118635679e-05,0.001899675154565178
1.0,0.05,69,86.98201751708984,1,3.054896378817506e-06,0.0011830352780232763,108.27259659767151,2,3.248041617666244e-06,0.0011872524567132711
1.0,0.05,302,88.6354432106018,1,0.0003633605272700106,0.00537509939448241,135.68561363220215,2,0.0003573694115604399,0.005304671917780002
1.0,0.05,491,97.65441060066223,1,0.00015669199054496504,0.0032054836908548523,142.73318910598755,2,0.00015347472919586478,0.003164746737714945
1.0,0.05,428,103.73182511329651,1,8.499525766036915e-05,0.0020678933464848186,137.33442521095276,2,8.753880082019031e-05,0.0020980153654908485
1.0,0.05,131,101.8049213886261,1,3.1989850704004537e-07,0.0012795976023277653,161.62350130081177,3,4.178710537880379e-07,0.0012855230996861125
1.0,0.05,365,111.95800733566284,1,0.00031054989254079444,0.005620189050682675,127.57678532600403,2,0.00030144323384107463,0.005493600554813533
1.0,0.05,184,115.43947696685791,1,2.062061690363125e-05,0.0011529246449525341,120.06243181228638,2,1.8504509198315848e-05,0.0011359347064163977
1.0,0.05,241,115.66721177101135,1,0.00013703801668139801,0.0026820170936679142,138.1300265789032,3,0.00014747818420705078,0.0028038069224569674
1.0,0.05,70,118.00653052330017,1,7.874100907274487e-05,0.0015202244003617966,116.03276562690735,2,7.973009865849752e-05,0.0015310236499994892
1.0,0.05,303,99.53460001945496,1,0.0006520900418098439,0.008228255943757394,139.23953986167908,3,0.0006340797853368581,0.008024297142311919
1.0,0.05,492,88.7222318649292,1,0.00023086144357515456,0.003715402294515628,128.88514518737793,2,0.0002239865462385158,0.0036343432039197777
1.0,0.05,429,94.15329837799072,1,9.54187850386637e-06,0.0009955632239223094,125.64769983291626,2,1.0336717633134303e-05,0.0010071988583242868
1.0,0.05,366,98.0282039642334,1,0.0005426218644625596,0.008174158114883354,122.52358627319336,2,0.0005383627159916993,0.008119725626830502
1.0,0.05,132,91.03307175636292,1,8.479499991797221e-05,0.0033736638540496715,143.91543436050415,3,9.437639801152012e-05,0.003524972530190977
1.0,0.05,185,104.0216178894043,1,2.465066346026191e-06,0.0008221309388773992,119.50178027153015,2,2.989392643600525e-06,0.0008183723139580811
1.0,0.05,71,108.01968264579773,1,1.5850894201207745e-05,0.001320832265053607,119.34257221221924,2,1.4276720266096215e-05,0.001300342821592281
